File Name	GCMF File Name	Address	Attributes	Origin	Radius	Texturecount	Materialcount	Translucidmaterialcount	Transformmatrixcount	Zero_0x1F	Indicesrelptr	Zero_0x24	Transformmatrixdefaultindices	Texture	TransformMatrix	Material	
	bg_big_s,lz.gma	000D2D60	0	(0.0, 24.2, 0.0)	218.4953	5	3	0	0	0	224	0	X	X	X	X	
	bg_big_s,lz.gma	000D5FC0	0	(3005.3, -20.7, -2727.2)	15033.66	6	4	1	0	0	256	0	X	X	X	X	
	bg_big_s,lz.gma	000EAF60	0	(0.0, 2757.6, 0.0)	18234.15	3	1	2	0	0	160	0	X	X	X	X	
	bg_big_s,lz.gma	000ECC80	0	(200.2, 752.4, 101.7)	1290.505	16	9	1	0	0	576	0	X	X	X	X	
	bg_big_s,lz.gma	000F3820	0	(-2.8, 286.8, -18.3)	579.936	11	7	0	0	0	416	0	X	X	X	X	
	bg_big_s,lz.gma	000F6F60	0	(0.0, -0.2, 3.4)	69.61283	2	0	2	0	0	128	0	X	X	X	X	
	bg_big_s,lz.gma	000F71E0	0	(-0.1, 50.4, 0.0)	81.55054	11	11	0	0	0	416	0	X	X	X	X	
bg_cas,lz.gma	bg_cas,lz.gma	000002C0	0	(0.0, 250.0, 0.0)	253.1798	1	0	1	0	0	96	0	X	X	X	X	
	bg_cas,lz.gma	000004E0	0	(0.0, 100.3, 70.0)	188.5451	20	15	5	0	0	704	0	X	X	X	X	
	bg_cas,lz.gma	00011BE0	0	(0.0, 53.0, 70.0)	156.564	25	17	6	0	0	864	0	X	X	X	X	
